Sector,Ticker,Market Cap (Cr),PE Ratio,1Y Return %,ROE %,ROI %,Net Profit Margin %,Dividend Yield %,EBITDA (Cr),Cash & Equiv (Cr),Total Debt (Cr),Beta,start,end,fundamental_cluster,hierarchical_cluster
IT,TCS,1157824.2,24.24,-18.06,42.63,22.51,18.3,199.0,68208.0,56743.0,10821.0,0.3,0,99,0,1
IT,INFY,674214.29,23.58,-6.23,32.68,15.67,16.15,267.0,438.05,298.5,97.8,0.26,0,99,0,1
IT,WIPRO,248640.83,18.82,-18.23,15.2,6.74,14.59,724.0,16809.9,57394.9,19804.6,0.56,0,99,0,1
IT,HCLTECH,467969.66,28.48,5.73,23.19,12.87,13.02,314.0,284.9,349.2,79.1,0.2,0,99,0,1
IT,TECHM,156106.1,33.78,10.04,,,8.39,258.0,7575.77,7278.9,1954.4,0.21,0,99,0,1
IT,LTIM,178322.67,37.51,7.56,20.97,12.4,11.61,113.0,6855.9,14066.6,2333.2,0.31,0,99,0,1
IT,MPHASIS,54003.28,30.06,0.23,18.7,9.34,11.72,203.0,2678.51,2975.91,2401.06,0.43,0,99,0,1
IT,COFORGE,56888.28,50.65,0.59,,,7.89,96.0,2260.9,571.2,971.5,0.17,0,99,0,1
IT,PERSISTENT,97150.15,56.16,6.13,,,12.43,71.0,2455.91,1709.39,403.94,0.32,0,99,0,1
IT,OFSS,69726.0,28.68,-9.18,,,33.34,162.0,3161.6,4843.1,34.0,0.12,0,99,0,1
BANKING,HDFCBANK,1435126.52,21.2,13.18,14.02,1.75,26.19,119.0,,127591.02,615833.51,0.46,0,99,1,0
BANKING,ICICIBANK,978205.54,18.67,10.53,16.8,2.14,27.51,81.0,,179377.34,215435.55,0.2,0,99,1,0
BANKING,AXISBANK,409846.47,15.67,34.27,13.62,1.56,34.17,8.0,,45378.91,261419.51,0.31,0,99,0,1
BANKING,SBIN,981676.22,11.82,44.19,15.68,1.15,22.62,151.0,,413643.44,650303.29,0.26,0,99,1,0
BANKING,KOTAKBANK,410152.1,21.8,9.36,,,24.56,12.0,,63920.94,82700.03,0.17,0,99,0,1
BANKING,INDUSINDBK,70249.28,,-3.47,,,-14.66,,,39777.86,45350.3,0.23,0,99,0,1
BANKING,BANDHANBNK,24704.25,24.58,2.4,,,12.81,101.0,,5330.47,8118.06,0.18,0,99,0,1
BANKING,FEDERALBNK,69952.32,17.24,55.44,,,29.05,42.0,,23373.36,26930.48,0.17,0,99,0,1
