Entry Date,Exit Date,Direction,Stock1,Stock2,Entry_S1_Price,Exit_S1_Price,Entry_S2_Price,Exit_S2_Price,Beta,Gross Return,Net Return,Holding Days,pair_id,Equity Curve
2025-01-28,2025-01-31,Long Spread,RATNAMANI,UPL,2784.7138671875,2841.928466796875,533.765380859375,598.2750244140625,-5.542620480483063,0.6904141839810722,0.6856541839810723,3,RATNAMANI-UPL,0.6856541839810723
2025-03-13,2025-03-19,Long Spread,RATNAMANI,UPL,2460.6650390625,2602.8310546875,595.9959106445312,640.4391479492188,-5.542620480483063,0.4710870003636033,0.4663270003636033,6,RATNAMANI-UPL,1.1519811843446757
2025-07-21,2025-08-01,Short Spread,RATNAMANI,UPL,2803.056396484375,2565.5498046875,713.75,665.1500244140625,-5.542620480483063,0.4621340527499608,0.4573740527499608,11,RATNAMANI-UPL,1.6093552370946365
2025-01-30,2025-02-04,Short Spread,ESCORTS,LT,3559.929931640625,3272.3359375,3389.33984375,3407.37158203125,1.0221053927120631,0.08622415635066938,0.08146415635066938,5,ESCORTS-LT,1.6908193934453057
2025-06-11,2025-07-03,Long Spread,ESCORTS,LT,3195.520263671875,3348.10009765625,3684.800048828125,3582.89990234375,1.0221053927120631,0.07601353424117185,0.07125353424117185,22,ESCORTS-LT,1.7620729276864775
2025-09-08,2025-09-26,Short Spread,ESCORTS,LT,3772.300048828125,3543.699951171875,3529.60009765625,3729.5,1.0221053927120631,0.11848688801151352,0.11372688801151352,18,ESCORTS-LT,1.875799815697991
2025-01-13,2025-01-28,Long Spread,BALKRISIND,DEEPAKNTR,2579.855712890625,2689.57958984375,2318.25634765625,2184.80859375,0.7903968221965745,0.08802929484632194,0.08326929484632194,15,BALKRISIND-DEEPAKNTR,1.9590691105443128
2025-05-08,2025-05-19,Short Spread,BALKRISIND,DEEPAKNTR,2733.279541015625,2678.0390625,1896.3521728515625,2109.76904296875,0.7903968221965745,0.10916216937025058,0.10440216937025058,11,BALKRISIND-DEEPAKNTR,2.0634712799145634
2025-07-18,2025-08-06,Short Spread,BALKRISIND,DEEPAKNTR,2736.6357421875,2396.098388671875,1940.8680419921875,1812.5,0.7903968221965745,0.07216004201137069,0.06740004201137069,19,BALKRISIND-DEEPAKNTR,2.130871321925934
2025-02-01,2025-02-05,Short Spread,UBL,BALKRISIND,2224.3427734375,2047.9013671875,2740.943603515625,2811.71142578125,0.5039851580921682,0.09233522140940635,0.08757522140940635,4,UBL-BALKRISIND,2.2184465433353404
2025-04-09,2025-05-13,Short Spread,UBL,BALKRISIND,1991.4920654296875,2025.1685791015625,2269.952880859375,2683.512939453125,0.5039851580921682,0.07491027384425708,0.07015027384425708,34,UBL-BALKRISIND,2.2885968171795974
2025-09-22,2025-09-29,Long Spread,UBL,BALKRISIND,1774.9000244140625,1794.800048828125,2531.66650390625,2282.393310546875,0.5039851580921682,0.06083534848109224,0.05607534848109224,7,UBL-BALKRISIND,2.3446721656606897
2025-04-07,2025-04-17,Long Spread,CIPLA,COALINDIA,1370.064453125,1499.18505859375,357.3658142089844,377.5771179199219,1.9248712125977963,-0.014619494005822686,-0.019379494005822687,10,CIPLA-COALINDIA,2.325292671654867
2025-05-20,2025-06-10,Long Spread,CIPLA,COALINDIA,1439.02783203125,1494.8316650390625,386.333740234375,378.23974609375,1.9248712125977963,0.07910640005159879,0.07434640005159879,21,CIPLA-COALINDIA,2.3996390717064657
2025-07-28,2025-08-06,Short Spread,CIPLA,COALINDIA,1572.0,1486.699951171875,358.17047119140625,361.996826171875,1.9248712125977963,0.07482562334541228,0.07006562334541228,9,CIPLA-COALINDIA,2.469704695051878
2025-08-21,2025-09-22,Short Spread,CIPLA,COALINDIA,1592.800048828125,1542.199951171875,368.1743469238281,384.2877807617188,1.9248712125977963,0.11601148717260969,0.11125148717260969,32,CIPLA-COALINDIA,2.5809561822244875
2025-10-20,2025-10-31,Short Spread,CIPLA,COALINDIA,1639.0999755859375,1501.300048828125,380.2959289550781,378.3973693847656,1.9248712125977963,0.07446090699603758,0.06970090699603758,11,CIPLA-COALINDIA,2.650657089220525
2025-01-01,2025-02-04,Long Spread,PIDILITIND,TATACHEM,1422.090576171875,1453.5001220703125,1026.5059814453125,907.9793701171876,1.1215222246247585,0.1515846448992171,0.1468246448992171,34,PIDILITIND-TATACHEM,2.797481734119742
2025-05-13,2025-05-28,Short Spread,PIDILITIND,TATACHEM,1539.7333984375,1490.272705078125,827.2151489257812,885.4899291992188,1.1215222246247585,0.1111307091083737,0.10637070910837369,15,PIDILITIND-TATACHEM,2.903852443228116
2025-07-29,2025-08-06,Long Spread,PIDILITIND,TATACHEM,1446.449951171875,1520.9000244140625,1000.0,949.5499877929688,1.1215222246247585,0.1080517047033869,0.1032917047033869,8,PIDILITIND-TATACHEM,3.007144147931503
2025-04-07,2025-04-28,Long Spread,CIPLA,POWERGRID,1370.064453125,1538.6634521484375,283.3868408203125,302.1389465332031,3.133105590422582,-0.08426282887900657,-0.08902282887900657,21,CIPLA-POWERGRID,2.918121319052496
2025-08-28,2025-09-23,Short Spread,CIPLA,POWERGRID,1580.300048828125,1527.0999755859375,269.90948486328125,283.82537841796875,3.133105590422582,0.19520004050093442,0.19044004050093444,26,CIPLA-POWERGRID,3.1085613595534305
2025-10-20,2025-10-31,Short Spread,CIPLA,POWERGRID,1639.0999755859375,1501.300048828125,283.4320068359375,283.3828125,3.133105590422582,0.08352668052318692,0.07876668052318692,11,CIPLA-POWERGRID,3.1873280400766175
2025-04-07,2025-04-17,Long Spread,CIPLA,PFC,1370.064453125,1499.18505859375,385.6750183105469,413.6451416015625,1.4855242705007752,-0.01348977669387319,-0.01824977669387319,10,CIPLA-PFC,3.1690782633827443
